id,country,city,street,street_number,postal_code
1,Portugal,Ermidas do Sado,Shasta,93,7565-205
2,China,Yun’an,New Castle,4594,
3,Philippines,Cagwait,Crowley,996,8304
4,Portugal,Carvalho,Atwood,15,4950-703
5,Pakistan,Jhang Sadr,Kenwood,74528,52051
6,Lithuania,Varniai,Stephen,8810,88050
7,Indonesia,Lahat,Boyd,6813,
8,Norway,Drammen,Boyd,187,3047
9,Mexico,Arroyo Seco,Cascade,9802,41821
10,Russia,Zyablikovo,Vahlen,00235,140093
11,France,Pau,Wayridge,952,64004 CEDEX
12,Afghanistan,Ghazni,Debs,95577,
13,Albania,Buçimas,Melby,481,
14,China,Xingyuan,Onsgard,9769,
15,Brazil,Satuba,Division,6918,57120-000
16,Philippines,Pulo,Thackeray,6727,1706
17,Indonesia,Sukamaju,Jay,2009,
18,United States,Fort Pierce,Jackson,54458,34981
19,Serbia,Aleksandrovac,Pawling,1820,
20,Indonesia,Krajan Dua Patempuran,Delladonna,3567,
21,Colombia,Chiquinquirá,Troy,2238,154648
22,China,Touying,Mandrake,8,
23,United States,Cincinnati,Del Sol,1,45999
24,Russia,Kotovo,Karstens,0,403800
25,Colombia,Pamplona,Quincy,0969,543058
