reservation_id,customer_email
3,hhullese@cnbc.com
4,kboxilli@ft.com
5,emartynsh@virginia.edu
6,asoaresk@opera.com
7,rraitied@omniture.com
8,tvamplus4@europa.eu
9,hhullese@cnbc.com
10,kboxilli@ft.com
12,tgricen@addtoany.com
13,rraitied@omniture.com
14,lbailya@omniture.com
15,wbarke9@walmart.com
16,vtidball0@icq.com
17,emartynsh@virginia.edu
18,tgricen@addtoany.com
19,tsterzaker3@mac.com
1,tvamplus4@europa.eu
2,tvamplus4@europa.eu
11,tgricen@addtoany.com
20,tvamplus4@europa.eu
