reservation_id,card_number,amount
1,5602240652308159,1134
2,4917987135455030,6304
3,4041594262784,14644
4,3544532511320375,760
5,5602240652308159,4304
6,6706888653786733,1200
7,347350920033165,640
8,5402281649888764,2112
9,374283299793000,5902
10,3583495055600721,160
11,4772058539053039,741
12,5402281649888764,1066
13,3546400317311808,320
14,3560669567177280,1440
15,5602240652308159,240
16,4917987135455030,1344
17,6374489549988459,400
18,30085104772657,5672
19,5344338076824836,160
20,3546400317311808,3293
